あそびます,遊びます,玩
およぎます,泳ぎます,游泳
むかえます,迎えます,迎接
つかれます,疲れます,疲累（表示累了的狀態時用「疲れました」）
けっこんします,結婚します,結婚
かいものします,買い物します,購物、買東西
しょくじします,食事します,吃飯、用餐
さんぽします　[こうえんを～],散歩します　[公園を],［在公園］散步
たいへん　[な],大変[な],很（累）、相當（辛苦）（表示相當糟糕、不好的狀態）
ほしい,欲しい,想要
ひろい,広い,寬
せまい,狭い,窄
プール,,游泳池
かわ,川,河流
びじゅつ,美術,美術
つり,釣り,釣魚（～を　します：釣魚）
スキー,,滑雪（～を　します：滑雪）
しゅうまつ,週末,週末
[お]　しょうがつ,[お]　正月,新年
～　ごろ,,～左右（用於時間）
なにか,何か,什麼（表示無法特定的某件事情或某一物品）
どこか,,哪裡（表示無特定的某個地方）
ごちゅうこんは？,ご注文は？,您要點什麼？
ていしょく,定食,套餐
ぎゅうどん,牛どん,牛肉蓋飯
[しょうしょう]　おまち　ください。,[少々]　お待ち　ください,請［稍］等。
～　で　ござうます。,,（「です」的禮貌用語）
べつべつに,別々に,分別、各自
のどが　かわきます,,口渴（表示口渴了的狀態時用「のとが　かわきます」）
おなかが　すきます,,肚子餓（表示肚子餓的狀態時用「おなかが　すきます」）
そう　しましょう。,,就這麼辦吧。（用於同意去做對方提議的事情時）
アキックス,,阿奇克斯（虛構的公司名）
おはようテレビ,,早安電視台（虛構的電視台名）
